DAY,MAX_T,MIN_T,HUM,SMOKE
Jan-01,26,15,55,5.1
Jan-02,25.33740187,14.68262839,58.35837077,5.140384042
Jan-03,24.71080784,14.38111616,61.56270648,5.184445264
Jan-04,24.12021793,14.09546329,64.61300713,5.232183667
Jan-05,23.56563212,13.82566978,67.50927271,5.28359925
Jan-06,23.04705042,13.57173565,70.25150323,5.338692014
Jan-07,22.56447283,13.33366088,72.83969868,5.397461958
Jan-08,22.11789935,13.11144548,75.27385907,5.459909082
Jan-09,21.70732997,12.90508945,77.55398439,5.526033386
Jan-10,21.33276471,12.71459279,79.68007465,5.595834871
Jan-11,20.99420355,12.5399555,81.65212985,5.669313536
Jan-12,20.6916465,12.38117757,83.47014998,5.746469381
Jan-13,20.42509356,12.23825901,85.13413505,5.827302407
Jan-14,20.19454473,12.11119982,86.64408506,5.911812613
Jan-15,20,12,88,6
Jan-16,19.84145938,11.90465955,89.20187988,6.091864567
Jan-17,19.71892287,11.82517846,90.24972469,6.187406314
Jan-18,19.63239047,11.76155674,91.14353444,6.286625242
Jan-19,19.58186218,11.71379439,91.88330912,6.389521349
Jan-20,19.567338,11.68189141,92.46904875,6.496094638
Jan-21,19.58881792,11.66584779,92.9007533,6.606345106
Jan-22,19.64630195,11.66566355,93.1784228,6.720272755
Jan-23,19.73979009,11.68133867,93.30205722,6.837877584
Jan-24,19.86928234,11.71287316,93.27165659,6.959159594
Jan-25,20.0347787,11.76026702,93.08722089,7.084118784
Jan-26,20.23627917,11.82352024,92.74875013,7.212755154
Jan-27,20.47378374,11.90263283,92.2562443,7.345068705
Jan-28,20.74729242,11.9976048,91.60970341,7.481059436
Jan-29,21.05680521,12.10843613,90.80912745,7.620727347
Jan-30,21.40232211,12.23512682,89.85451643,7.764072439
Jan-31,21.77882006,12.37620025,88.77018672,7.910514388
fev-1,22.15616078,12.52279655,87.70203651,8.056571256
fev-2,22.5293212,12.6734391,86.67438217,8.20166272
fev-3,22.89830132,12.82812788,85.6872237,8.34578878
fev-4,23.26310116,12.98686291,84.7405611,8.488949437
fev-5,23.6237207,13.14964417,83.83439437,8.631144689
fev-6,23.98015995,13.31647168,82.96872351,8.772374538
fev-7,24.3324189,13.48734542,82.14354853,8.912638982
fev-8,24.68049757,13.6622654,81.35886941,9.051938023
fev-9,25.02439594,13.84123163,80.61468617,9.19027166
fev-10,25.36411401,14.02424409,79.9109988,9.327639893
fev-11,25.6996518,14.21130279,79.24780729,9.464042722
fev-12,26.03100929,14.40240773,78.62511166,9.599480148
fev-13,26.35818648,14.59755892,78.04291191,9.733952169
fev-14,26.68118339,14.79675634,77.50120802,9.867458786
fev-15,27,15,77,10
fev-16,27.31463632,15.2072899,76.53928785,10.13157581
fev-17,27.62509234,15.41862604,76.11907158,10.26218622
fev-18,27.93136808,15.63400842,75.73935118,10.39183122
fev-19,28.23346352,15.85343704,75.40012664,10.52051082
fev-20,28.53137866,16.07691191,75.10139798,10.64822501
fev-21,28.82511352,16.30443301,74.84316519,10.7749738
fev-22,29.11466808,16.53600035,74.62542827,10.90075719
fev-23,29.40004235,16.77161393,74.44818722,11.02557517
fev-24,29.68123632,17.01127375,74.31144205,11.14942775
fev-25,29.95825,17.2549798,74.21519274,11.27231492
fev-26,30.23108339,17.5027321,74.1594393,11.39423669
fev-27,30.49973649,17.75453064,74.14418174,11.51519306
fev-28,30.76420929,18.01037542,74.16942005,11.63518402
ma-1,31.0245018,18.27026644,74.23515422,11.75420958
ma-2,31.27944225,18.52739964,74.31379499,11.86809014
ma-3,31.52785887,18.77497095,74.37775307,11.97264612
ma-4,31.76975167,19.01298039,74.42702845,12.06787751
ma-5,32.00512065,19.24142794,74.46162114,12.15378431
ma-6,32.2339658,19.46031361,74.48153114,12.23036652
ma-7,32.45628712,19.6696374,74.48675845,12.29762415
ma-8,32.67208462,19.86939931,74.47730307,12.35555719
ma-9,32.88135829,20.05959934,74.45316499,12.40416564
ma-10,33.08410814,20.24023749,74.41434422,12.4434495
ma-11,33.28033416,20.41131375,74.36084076,12.47340877
ma-12,33.47003636,20.57282814,74.29265461,12.49404346
ma-13,33.65321473,20.72478064,74.20978576,12.50535356
ma-14,33.82986928,20.86717126,74.11223423,12.50733907
ma-15,34,21,74,12.5
ma-16,34.1636069,21.12326686,73.87308308,12.48333634
ma-17,34.32068997,21.23697184,73.73148347,12.45734809
ma-18,34.47124921,21.34111493,73.57520116,12.42203525
ma-19,34.61528463,21.43569615,73.40423617,12.37739782
ma-20,34.75279622,21.52071548,73.21858848,12.32343581
ma-21,34.88378399,21.59617293,73.0182581,12.26014921
ma-22,35.00824794,21.6620685,72.80324503,12.18753802
ma-23,35.12618805,21.71840219,72.57354926,12.10560225
ma-24,35.23760435,21.765174,72.32917081,12.01434189
ma-25,35.34249682,21.80238392,72.07010966,11.91375694
ma-26,35.44086546,21.83003197,71.79636582,11.8038474
ma-27,35.53271027,21.84811813,71.50793929,11.68461327
ma-28,35.61803127,21.85664241,71.20483006,11.55605456
ma-29,35.69682843,21.85560481,70.88703815,11.41817126
ma-30,35.76910177,21.84500533,70.55456354,11.27096337
ma-31,35.83273033,21.82549434,70.21548311,11.11687887
ap-1,35.87498841,21.80097402,69.91825812,10.97060563
ap-2,35.89375504,21.77209476,69.67096542,10.83459163
ap-3,35.88903023,21.73885655,69.47360503,10.70883686
ap-4,35.86081397,21.70125939,69.32617694,10.59334132
ap-5,35.80910628,21.65930329,69.22868116,10.48810503
ap-6,35.73390714,21.61298823,69.18111768,10.39312796
ap-7,35.63521656,21.56231422,69.1834865,10.30841014
ap-8,35.51303454,21.50728127,69.23578763,10.23395155
ap-9,35.36736107,21.44788936,69.33802106,10.16975219
ap-10,35.19819617,21.38413851,69.49018679,10.11581207
ap-11,35.00553982,21.3160287,69.69228483,10.07213118
ap-12,34.78939203,21.24355995,69.94431516,10.03870954
ap-13,34.54975279,21.16673225,70.24627781,10.01554712
ap-14,34.28662212,21.0855456,70.59817275,10.00264394
ap-15,34,21,71,10
ap-16,33.68988644,20.91009545,71.45175955,10.00761529
ap-17,33.35628144,20.81583195,71.95345141,10.02548982
ap-18,32.99918499,20.71720951,72.50507557,10.05362358
ap-19,32.61859711,20.61422811,73.10663203,10.09201658
ap-20,32.21451778,20.50688776,73.75812079,10.14066882
ap-21,31.78694701,20.39518847,74.45954186,10.19958029
ap-22,31.33588479,20.27913022,75.21089523,10.268751
ap-23,30.86133114,20.15871303,76.01218091,10.34818094
ap-24,30.36328604,20.03393689,76.86339888,10.43787011
ap-25,29.8417495,19.9048018,77.76454916,10.53781853
ap-26,29.29672152,19.77130776,78.71563175,10.64802617
ap-27,28.7282021,19.63345477,79.71664664,10.76849306
ap-28,28.13619123,19.49124283,80.76759383,10.89921918
ap-29,27.52068892,19.34467194,81.86847332,11.04020453
ap-30,26.88169517,19.1937421,83.01928512,11.19144912
my-1,26.27486413,19.05886789,84.11659216,11.34099194
my-2,25.75584995,18.96046388,85.05695738,11.47687199
my-3,25.32465263,18.89853007,85.84038079,11.59908926
my-4,24.98127217,18.87306646,86.46686238,11.70764375
my-5,24.72570858,18.88407305,86.93640216,11.80253547
my-6,24.55796185,18.93154984,87.24900011,11.88376441
my-7,24.47803197,19.01549683,87.40465626,11.95133058
my-8,24.48591896,19.13591403,87.40337058,12.00523397
my-9,24.58162281,19.29280142,87.24514309,12.04547459
my-10,24.76514352,19.48615901,86.92997378,12.07205243
my-11,25.0364811,19.71598681,86.45786266,12.08496749
my-12,25.39563553,19.98228481,85.82880972,12.08421978
my-13,25.84260682,20.285053,85.04281496,12.0698093
my-14,26.37739498,20.6242914,84.09987839,12.04173604
my-15,27,21,83,12
my-16,27.71042188,21.4121788,81.74317979,11.94460119
my-17,28.50866062,21.8608278,80.32941777,11.8755396
my-18,29.39471622,22.345947,78.75871393,11.79281524
my-19,30.36858869,22.8675364,77.03106828,11.6964281
my-20,31.43027801,23.425596,75.14648081,11.58637819
my-21,32.5797842,24.02012581,73.10495152,11.4626655
my-22,33.81710725,24.65112581,70.90648041,11.32529003
my-23,35.14224716,25.31859601,68.55106749,11.17425179
my-24,36.55520393,26.02253642,66.03871275,11.00955078
my-25,38.05597756,26.76294703,63.3694162,10.83118699
my-26,39.64456805,27.53982783,60.54317783,10.63916042
my-27,41.32097541,28.35317884,57.55999764,10.43347108
my-28,43.08519962,29.20300005,54.41987564,10.21411896
my-29,44.9372407,30.08929146,51.12281182,9.981104068
my-30,46.82090853,30.98736806,47.7795864,9.7344264
my-31,48.39906247,31.74911986,45.05488069,9.476240539
ju-1,49.61551242,32.34986184,43.05947491,9.21947398
ju-2,51.47025837,32.789594,41.79336906,8.966281305
ju-3,50.96330032,33.06831635,41.25656314,8.716662514
ju-4,50.09463827,33.18602888,41.44905715,8.470617607
ju-5,50.86427223,33.1427316,42.37085108,8.228146585
ju-6,59.27220219,32.9384245,44.02194495,7.989249447
ju-7,49.31842815,32.57310759,46.40233874,7.753926194
ju-8,48.00295012,32.04678086,49.51203246,7.522176824
ju-9,46.32576809,31.35944432,53.35102611,7.294001339
ju-10,44.28688206,30.51109796,57.91931969,7.069399739
ju-11,41.88629204,29.50174179,63.2169132,6.848372022
ju-12,39.12399802,28.3313758,69.24380664,6.63091819
ju-13,36,27,76,6.417038243
ju-14,32.51429798,25.50761438,83.48549329,6.206732179
ju-15,29,24,91,6
ju-16,25.79021407,22.62293791,97.8432336,5.796841705
ju-17,22.8849402,21.37642811,98.01519411,5.597257295
ju-18,20.28417839,20.26047059,99,5.401246768
ju-19,17.98792863,19.27506537,96,5.208810126
ju-20,15.99619093,18.42021243,98,5.019947369
ju-21,14.30896529,17.69591179,87,4.834658495
ju-22,12.9262517,17.10216343,89,4.652943506
ju-23,11.84805017,16.63896737,98,4.474802401
ju-24,11.0743607,16.30632359,97,4.300235181
ju-25,10.60518329,16.10423211,96,4.129241845
ju-26,10.44051793,16.03269291,95,3.961822393
