DAY,MAX_T,MIN_T,HUM,Smoke
jan-1,26,15,55,5.1
jan-2,,,,
jan-3,,,,
jan-4,,,,
jan-5,,,,
jan-6,,,,
jan-7,,,,
jan-8,,,,
jan-9,,,,
jan-10,,,,
jan-11,,,,
jan-12,,,,
jan-13,,,,
an-14,,,,
jan-15,20,12,88,6
jan-16,,,,
jan-17,,,,
jan-18,,,,
jan-19,,,,
jan-20,,,,
jan-21,,,,
jan-22,,,,
jan-23,,,,
jan-24,,,,
jan-25,,,,
jan-26,,,,
jan-27,,,,
jan-28,,,,
jan-29,,,,
jan-30,,,,
jan-31,,,,
fev-1,,,,
fev-2,,,,
fev-3,,,,
fev-4,,,,
fev-5,,,,
fev-6,,,,
fev-7,,,,
fev-8,,,,
fev-9,,,,
fev-10,,,,
fev-11,,,,
fev-12,,,,
fev-13,,,,
fev-14,,,,
fev-15,27,15,77,10
fev-16,,,,
fev-17,,,,
fev-18,,,,
fev-19,,,,
fev-20,,,,
fev-21,,,,
fev-22,,,,
fev-23,,,,
fev-24,,,,
fev-25,,,,
fev-26,,,,
fev-27,,,,
fev-28,,,,
ma-1,,,,
ma-2,,,,
ma-3,,,,
ma-4,,,,
ma-5,,,,
ma-6,,,,
ma-7,,,,
ma-8,,,,
ma-9,,,,
ma-10,,,,
ma-11,,,,
ma-12,,,,
ma-13,,,,
ma-14,,,,
ma-15,34,21,74,12.5
ma-16,,,,
ma-17,,,,
ma-18,,,,
ma-19,,,,
ma-20,,,,
ma-21,,,,
ma-22,,,,
ma-23,,,,
ma-24,,,,
ma-25,,,,
ma-26,,,,
ma-27,,,,
ma-28,,,,
ma-29,,,,
ma-30,,,,
ma-31,,,,
ap-1,,,,
ap-2,,,,
ap-3,,,,
ap-4,,,,
ap-5,,,,
ap-6,,,,
ap-7,,,,
ap-8,,,,
ap-9,,,,
ap-10,,,,
ap-11,,,,
ap-12,,,,
ap-13,,,,
ap-14,,,,
ap-15,34,21,71,10
ap-16,,,,
ap-17,,,,
ap-18,,,,
ap-19,,,,
ap-20,,,,
ap-21,,,,
ap-22,,,,
ap-23,,,,
ap-24,,,,
ap-25,,,,
ap-26,,,,
ap-27,,,,
ap-28,,,,
ap-29,,,,
ap-30,,,,
my-1,,,,
my-2,,,,
my-3,,,,
my-4,,,,
my-5,,,,
my-6,,,,
my-7,,,,
my-8,,,,
my-9,,,,
my-10,,,,
my-11,,,,
my-12,,,,
my-13,,,,
my-14,,,,
my-15,27,21,83,12
my-16,,,,
my-17,,,,
my-18,,,,
my-19,,,,
my-20,,,,
my-21,,,,
my-22,,,,
my-23,,,,
my-24,,,,
my-25,,,,
my-26,,,,
my-27,,,,
my-28,,,,
my-29,,,,
my-30,,,,
my-31,,,,
ju-1,,,,
ju-2,,,,
ju-3,,,,
ju-4,,,,
ju-5,,,,
ju-6,,,,
ju-7,,,,
ju-8,,,,
ju-9,,,,
ju-10,,,,
ju-11,,,,
ju-12,,,,
ju-13,36,27,76,
ju-14,,,,
ju-15,29,24,91,6
ju-16,,,,
ju-17,,,,
ju-18,,,,
ju-19,,,,
ju-20,,,,
ju-21,,,,
ju-22,,,,
ju-23,,,,
ju-24,,,,
ju-25,,,,
ju-26,,,,
ju-27,,,,
ju-28,,,,
ju-29,,,,
ju-30,,,,
jy-1,,,,
jy-2,,,,
jy-3,,,,
jy-4,,,,
jy-5,,,,
jy-6,,,,
jy-7,,,,
jy-8,,,,
jy-9,,,,
jy-10,,,,
jy-11,,,,
jy-12,,,,
jy-13,,,,
jy-14,,,,
jy-15,26,23,93,3
jy-16,,,,
jy-17,,,,
jy-18,,,,
jy-19,,,,
jy-20,,,,
jy-21,,,,
jy-22,,,,
jy-23,,,,
jy-24,,,,
jy-25,,,,
jy-26,,,,
jy-27,,,,
jy-28,,,,
jy-29,,,,
jy-30,,,,
jy-31,,,,
au-1,,,,
au-2,,,,
au-3,,,,
au-4,,,,
au-5,,,,
au-6,,,,
au-7,,,,
au-8,,,,
au-9,,,,
au-10,,,,
au-11,,,,
au-12,,,,
au-13,,,,
au-14,,,,
au-15,29,26,95,10
au-16,,,,
au-17,,,,
au-18,,,,
au-19,,,,
au-20,,,,
au-21,,,,
au-22,,,,
au-23,,,,
au-24,,,,
au-25,,,,
au-26,,,,
au-27,,,,
au-28,,,,
au-29,,,,
au-30,,,,
au-31,,,,
se-1,,,,
se-2,,,,
se-3,,,,
se-4,,,,
se-5,,,,
se-6,,,,
se-7,,,,
se-8,,,,
se-9,,,,
se-10,,,,
se-11,,,,
se-12,,,,
se-13,,,,
se-14,,,,
se-15,35,27,83,6
se-16,,,,
se-17,,,,
se-18,,,,
se-19,,,,
se-20,,,,
se-21,,,,
se-22,,,,
se-23,,,,
se-24,,,,
se-25,,,,
se-26,,,,
se-27,,,,
se-28,,,,
se-29,,,,
se-30,,,,
oc-1,,,,
oc-2,,,,
oc-3,,,,
oc-4,,,,
oc-5,,,,
oc-6,,,,
oc-7,,,,
oc-8,,,,
oc-9,,,,
oc-10,,,,
oc-11,,,,
oc-12,,,,
oc-13,,,,
oc-14,,,,
oc-15,33,23,83,10.8
oc-16,,,,
oc-17,,,,
oc-18,,,,
oc-19,,,,
oc-20,,,,
oc-21,,,,
oc-22,,,,
oc-23,,,,
oc-24,,,,
oc-25,,,,
oc-26,,,,
oc-27,,,,
oc-28,,,,
oc-29,,,,
oc-30,,,,
oc-31,,,,
no-1,,,,
no-2,,,,
no-3,,,,
no-4,,,,
no-5,,,,
no-6,,,,
no-7,,,,
no-8,,,,
no-9,,,,
no-10,,,,
no-11,,,,
no-12,,,,
no-13,,,,
no-14,,,,
no-15,31,20,85.5,7.5
no-16,,,,
no-17,,,,
no-18,,,,
no-19,,,,
no-20,,,,
no-21,,,,
no-22,,,,
no-23,,,,
no-24,,,,
no-25,,,,
no-26,,,,
no-27,,,,
no-28,,,,
no-29,,,,
no-30,,,,
de-1,,,,
de-2,,,,
de-3,,,,
de-4,,,,
de-5,,,,
de-6,,,,
de-7,,,,
de-8,,,,
de-9,,,,
de-10,,,,
de-11,,,,
de-12,,,,
de-13,,,,
de-14,,,,
de-15,27,14,84,8
de-16,,,,
de-17,,,,
de-18,,,,
de-19,,,,
de-20,,,,
de-21,,,,
de-22,,,,
de-23,,,,
de-24,,,,
de-25,,,,
de-26,,,,
de-27,,,,
de-28,,,,
de-29,,,,
de-30,,,,
de-31,28,12,83,7
