DAY,MAX_T,MIN_T,HUM,SMOKE
 jan-1,11.1,7.6,60,73.24
 jan-2,12.01809562,7.631385961,60.3857576,83.13
 jan-3,12.90153917,7.663437819,60.7451349,79.84
 jan-4,13.75033064,7.696155572,61.07813192,94.52
 jan-5,14.56447004,7.729539222,61.38474865,135.99
 jan-6,15.34395736,7.763588767,61.66498509,178.33
 jan-7,16.08879262,7.798304209,61.91884124,139.7
 jan-8,16.7989758,7.833685546,62.1463171,80.65
 jan-9,17.4745069,7.86973278,62.34741267,58.36
 jan-10,18.11538594,7.90644591,62.52212795,79.29
 jan-11,18.72161289,7.943824936,62.67046294,88.7
 jan-12,19.29318778,7.981869858,62.79241764,74.28
 jan-13,19.83011059,8.020580676,62.88799205,113.93
 jan-14,20.33238133,8.05995739,62.95718617,105.39
 jan-15,20.8,8.1,63,66.52
 jan-16,21.23296659,8.140708506,63.01643354,65.04
 jan-17,21.63128111,8.182082908,63.00648679,103.36
 jan-18,21.99494356,8.224123207,62.97015976,177.33
 jan-19,22.32395393,8.266829401,62.90745243,113.25
 jan-20,22.61831223,8.310201492,62.81836481,99.7
 jan-21,22.87801846,8.354239478,62.70289691,80.61
 jan-22,23.10307261,8.398943361,62.56104871,100.79
 jan-23,23.29347469,8.444313139,62.39282023,107.99
 jan-24,23.4492247,8.490348814,62.19821145,140.29
 jan-25,23.57032263,8.537050385,61.97722239,239.96
 jan-26,23.65676849,8.584417851,61.72985303,142.96
 jan-27,23.70856228,8.632451214,61.45610339,238.41
 jan-28,23.72570399,8.681150473,61.15597346,118.72
 jan-29,23.70819363,8.730515628,60.82946323,52.99
 jan-30,23.6560312,8.780546679,60.47657272,30.55486376
 jan-31,23.57493079,8.831793465,60.1012118,39.22727717
fev-1,23.49917701,8.887555015,59.72683975,56.813552
fev-2,23.43448395,8.948381167,59.35736645,61.12
fev-3,23.38085161,9.014271923,58.9927919,60.78
fev-4,23.33828,9.085227281,58.63311611,91.83
fev-5,23.30676911,9.161247241,58.27833907,93.88
fev-6,23.28631894,9.242331805,57.92846078,173.01
fev-7,23.2769295,9.328480971,57.58348124,165.6979781
fev-8,23.27860078,9.41969474,57.24340045,105.45
fev-9,23.29133279,9.515973112,56.90821842,71.56
fev-10,23.31512551,9.617316087,56.57793513,119.8
fev-11,23.34997896,9.723723664,56.2525506,106.71
fev-12,23.39589314,9.835195844,55.93206482,118.49
fev-13,23.45286804,9.951732626,55.6164778,106.01
fev-14,23.52090366,10.07333401,55.30578952,97.34
fev-15,23.6,10.2,55,83.92
fev-16,23.69015707,10.33173059,54.69910923,49.51
fev-17,23.79137486,10.46852578,54.40311721,30.76
fev-18,23.90365337,10.61038558,54.11202394,50.29
fev-19,24.02699261,10.75730998,53.82582943,57.69
fev-20,24.16139257,10.90929898,53.54453367,105.06
fev-21,24.30685326,11.06635259,53.26813665,94.1
fev-22,24.46337466,11.22847079,52.99663839,111.89
fev-23,24.63095679,11.3956536,52.73003889,108.59
fev-24,24.80959965,11.56790102,52.46833813,130.76
fev-25,24.99930323,11.74521303,52.21153613,143.55
fev-26,25.20006753,11.92758965,51.95963288,165.07
fev-27,25.41189255,12.11503087,51.71262838,166.85
fev-28,25.6347783,12.3075367,51.47052263,147.38
ma-1,25.86872477,12.50510712,51.23331564,158.25
ma-2,26.10809242,12.70517645,50.99372787,237.76
ma-3,26.3472417,12.905179,50.74447981,133.37
ma-4,26.5861726,13.10511476,50.48557145,133.3
