DAY,MAX_T,MIN_T,HUM,SMOKE
jan-1,11.1,7.6,60,73.24
jan-2,,,,83.13
jan-3,,,,79.84
jan-4,,,,94.52
jan-5,,,,135.99
jan-6,,,,178.33
jan-7,,,,139.7
jan-8,,,,80.65
jan-9,,,,58.36
jan-10,,,,79.29
jan-11,,,,88.7
jan-12,,,,74.28
jan-13,,,,113.93
jan-14,,,,105.39
jan-15,20.8,8.1,63,66.52
jan-16,,,,65.04
jan-17,,,,103.36
jan-18,,,,177.33
jan-19,,,,113.25
jan-20,,,,99.7
jan-21,,,,80.61
jan-22,,,,100.79
jan-23,,,,107.99
jan-24,,,,140.29
jan-25,,,,239.96
jan-26,,,,142.96
jan-27,,,,238.41
jan-28,,,,118.72
jan-29,,,,52.99
jan-30,,,,
jan-31,,,,
fev-1,,,,
fev-2,,,,61.12
fev-3,,,,60.78
fev-4,,,,91.83
fev-5,,,,93.88
fev-6,,,,173.01
fev-7,,,,
fev-8,,,,105.45
fev-9,,,,71.56
fev-10,,,,119.8
fev-11,,,,106.71
fev-12,,,,118.49
fev-13,,,,106.01
fev-14,,,,97.34
fev-15,23.6,10.2,55,83.92
fev-16,,,,49.51
fev-17,,,,30.76
fev-18,,,,50.29
fev-19,,,,57.69
fev-20,,,,105.06
fev-21,,,,94.1
fev-22,,,,111.89
fev-23,,,,108.59
fev-24,,,,130.76
fev-25,,,,143.55
fev-26,,,,165.07
fev-27,,,,166.85
fev-28,,,,147.38
ma-1,,,,158.25
ma-2,,,,237.76
ma-3,,,,133.37
ma-4,,,,133.3
ma-5,,,,96.04
ma-6,,,,77.69
ma-7,,,,53.07
ma-8,,,,63.11
ma-9,,,,156.76
ma-10,,,,120.96
ma-11,,,,138.63
ma-12,,,,144.36
ma-13,,,,85.03
ma-14,,,,134.6
ma-15,29.2,15.3,47,61.06
ma-16,,,,39.42
ma-17,,,,111.86
ma-18,,,,58.37
ma-19,,,,95.37
ma-20,,,,141.3
ma-21,,,,106.68
ma-22,,,,109.48
ma-23,,,,126.04
ma-24,,,,71.22
ma-25,,,,97.87
ma-26,,,,63.38
ma-27,,,,75.29
ma-28,,,,80.9
ma-29,,,,103.29
ma-30,,,,107.5
ma-31,,,,161.14
ap-1,,,,102.58
ap-2,,,,138.42
ap-3,,,,129.04
ap-4,,,,96.65
ap-5,,,,126.77
ap-6,,,,106.15
ap-7,,,,86.31
ap-8,,,,83.99
ap-9,,,,65.11
ap-10,,,,51.03
ap-11,,,,38.73
ap-12,,,,61.12
ap-13,,,,58.44
ap-14,,,,61.49
ap-15,36,21.3,34,65.39
ap-16,,,,100.92
ap-17,,,,97.48
ap-18,,,,129.27
ap-19,,,,129.58
ap-20,,,,100.57
ap-21,,,,130.34
ap-22,,,,53.24
ap-23,,,,42
ap-24,,,,50.1
ap-25,,,,83.69
ap-26,,,,38.88
ap-27,,,,46.89
ap-28,,,,70.96
ap-29,,,,53.66
ap-30,,,,45.49
my-1,,,,60.86
my-2,,,,51.93
my-3,,,,77.87
my-4,,,,57.59
my-5,,,,77.22
my-6,,,,45.29
my-7,,,,103.78
my-8,,,,25.14
my-9,,,,87.03
my-10,,,,89.6
my-11,,,,80.69
my-12,,,,44.75
my-13,,,,38.11
my-14,,,,45.5
my-15,39.5,25.9,33,36.98
my-16,,,,43.58
my-17,,,,45.49
my-18,,,,38.06
my-19,,,,45.41
my-20,,,,37.71
my-21,,,,32.37
my-22,,,,34.74
my-23,,,,32.56
my-24,,,,29.28
my-25,,,,20.46
my-26,,,,26.07
my-27,,,,21.43
my-28,,,,11.91
my-29,,,,57.75
my-30,,,,66.39
my-31,,,,62.61
ju-1,,,,47.5
ju-2,,,,111.8
ju-3,,,,30
ju-4,,,,4.66
ju-5,,,,48.72
ju-6,,,,49.7
ju-7,,,,48.1
ju-8,,,,47.43
ju-9,,,,51.74
ju-10,,,,42.68
ju-11,,,,38.45
ju-12,,,,46.69
ju-13,,,,55.27
ju-14,,,,149.03
ju-15,39,27.9,46,86.57
ju-16,,,,111.77
ju-17,,,,151.4
ju-18,,,,51.35
ju-19,,,,65.37
ju-20,,,,56.28
ju-21,,,,48.17
ju-22,,,,33.56
ju-23,,,,31.3
ju-24,,,,48.12
ju-25,,,,57.11
ju-26,,,,34.72
ju-27,,,,29.22
ju-28,,,,29.79
ju-29,,,,59.95
ju-30,,,,19.2
jy-1,,,,19.52
jy-2,,,,35.16
jy-3,,,,33.03
jy-4,,,,40.95
jy-5,,,,40.29
jy-6,,,,41.16
jy-7,,,,36.12
jy-8,,,,28.51
jy-9,,,,31.59
jy-10,,,,42.56
jy-11,,,,48.12
jy-12,,,,37.09
jy-13,,,,33.4
jy-14,,,,38.64
jy-15,34.9,27,70,40.49
jy-16,,,,41.37
jy-17,,,,44.56
jy-18,,,,65.68
jy-19,,,,33.34
jy-20,,,,39.17
jy-21,,,,34
jy-22,,,,36.38
jy-23,,,,38.35
jy-24,,,,38.5
jy-25,,,,39.61
jy-26,,,,61.79
jy-27,,,,43.22
jy-28,,,,33.41
jy-29,,,,36.9
jy-30,,,,36.36
jy-31,,,,32.64
au-1,,,,38.23
au-2,,,,39.86
au-3,,,,72.74
au-4,,,,43.2
au-5,,,,63.2
au-6,,,,64.73
au-7,,,,65.28
au-8,,,,67.86
au-9,,,,52.4
au-10,,,,33.33
au-11,,,,29.52
au-12,,,,15.53
au-13,,,,57.51
au-14,,,,50.24
au-15,33.6,26.4,73,61.77
au-16,,,,46.93
au-17,,,,43.01
au-18,,,,42.06
au-19,,,,44.94
au-20,,,,29.58
au-21,,,,32.15
au-22,,,,36.33
au-23,,,,24.46
au-24,,,,
au-25,,,,27.08
au-26,,,,59.29
au-27,,,,65.32
au-28,,,,47.39
au-29,,,,43.88
au-30,,,,28.35
au-31,,,,3.59
se-1,,,,3.04
se-2,,,,19.14
se-3,,,,69.12
se-4,,,,76.41
se-5,,,,102.49
se-6,,,,127.94
se-7,,,,87.18
se-8,,,,99.73
se-9,,,,84.15
se-10,,,,92.12
se-11,,,,94.02
se-12,,,,150.27
se-13,,,,118.91
se-14,,,,91.41
se-15,34,24.8,62,95.9
se-16,,,,137.87
se-17,,,,90.71
se-18,,,,108.68
se-19,,,,98.79
se-20,,,,145.75
se-21,,,,179.43
se-22,,,,170.52
se-23,,,,203.4
se-24,,,,92.71
se-25,,,,64.66
se-26,,,,78.14
se-27,,,,100.17
se-28,,,,147.35
se-29,,,,206.89
se-30,,,,114.84
oc-1,,,,89.64
oc-2,,,,51.72
oc-3,,,,54.59
oc-4,,,,46.5
oc-5,,,,
oc-6,,,,122.54
oc-7,,,,147.18
oc-8,,,,214.67
oc-9,,,,207.13
oc-10,,,,191.01
oc-11,,,,192.35
oc-12,,,,127.64
oc-13,,,,33.02
oc-14,,,,27.29
oc-15,32.9,19.4,52,41.43
oc-16,,,,30.16
oc-17,,,,29.42
oc-18,,,,20.87
oc-19,,,,35.08
oc-20,,,,40.23
oc-21,,,,54.25
oc-22,,,,49.04
oc-23,,,,35.87
oc-24,,,,46.3
oc-25,,,,39.15
oc-26,,,,45.3
oc-27,,,,43.61
oc-28,,,,
oc-29,,,,34.89
oc-30,,,,38.13
oc-31,,,,36.47
no-1,,,,40.9
no-2,,,,34.19
no-3,,,,32.92
no-4,,,,41.39
no-5,,,,31.71
no-6,,,,33.48
no-7,,,,30.8
no-8,,,,30.47
no-9,,,,34.64
no-10,,,,43.71
no-11,,,,46.52
no-12,,,,36.54
no-13,,,,36.87
no-14,,,,46.19
no-15,28.2,13,55,48.44
no-16,,,,40.18
no-17,,,,33.5
no-18,,,,29.36
no-19,,,,44.59
no-20,,,,50.65
no-21,,,,33.93
no-22,,,,
no-23,,,,43.9
no-24,,,,93.34
no-25,,,,38.06
no-26,,,,20.19
no-27,,,,10.45
no-28,,,,29.87
no-29,,,,60.18
no-30,,,,85.1
de-1,,,,55.55
de-2,,,,170.22
de-3,,,,35.05
de-4,,,,37.68
de-5,,,,32.78
de-6,,,,53.5
de-7,,,,48.24
de-8,,,,63.27
de-9,,,,40.43
de-10,,,,31.15
de-11,,,,33.76
de-12,,,,35.95
de-13,,,,58.07
de-14,,,,46.04
de-15,22.9,8.4,62,52.27
de-16,,,,46.68
de-17,,,,44.59
de-18,,,,30.81
de-19,,,,47.67
de-20,,,,35.69
de-21,,,,36.44
de-22,,,,33.83
de-23,,,,34.23
de-24,,,,52.15
de-25,,,,35.99
de-26,,,,37.93
de-27,,,,31.94
de-28,,,,18.04
de-29,,,,27.9
de-30,,,,36.51
de-31,19,8.4,62,55.71
